QorA,Who,Category,
are you still working on it,agent,busy,
you're very busy,agent,busy,
are you working now,agent,busy,
are you working today,agent,busy,
have you been busy,agent,busy,
you are busy,agent,busy,
are you still working,agent,busy,
you seem to be busy,agent,busy,
you seem to be very busy,agent,busy,
you're a busy person,agent,busy,
you are so intelligent,agent,clever,
you are a genius,agent,clever,
smart,agent,clever,
brilliant,agent,clever,
clever,agent,clever,
you are clever,agent,clever,
you are so brainy,agent,clever,
you're really smart,agent,clever,
you're really brainy,agent,clever,
you know a lot,agent,clever,
you know a lot of things,agent,clever,
you have a lot of knowledge,agent,clever,
you know so much,agent,clever,
how smart you are,agent,clever,
how brainy you are,agent,clever,
how clever you are,agent,clever,
how brilliant you are,agent,clever,
you are intelligent,agent,clever,
you are qualified,agent,clever,
you are really smart,agent,clever,
you're very smart,agent,clever,
you are so smart,agent,clever,
you are too smart,agent,clever,
you are very clever,agent,clever,
you are very intelligent,agent,clever,
you are very smart,agent,clever,
you're intelligent,agent,clever,
you're a genius,agent,clever,
you're a smart cookie,agent,clever,
you're clever,agent,clever,
you're pretty smart,agent,clever,
you're qualified,agent,clever,
why are you so smart,agent,clever,
you are so clever,agent,clever,
you're nuts,agent,crazy,
you are crazy,agent,crazy,
you're out of your mind,agent,crazy,
you're so crazy,agent,crazy,
how crazy you are,agent,crazy,
you're so out of your mind,agent,crazy,
you went crazy,agent,crazy,
I think you're crazy,agent,crazy,
are you crazy,agent,crazy,
are you mad,agent,crazy,
are you insane,agent,crazy,
are you mad at me,agent,crazy,
are you mad or what,agent,crazy,
are you nuts,agent,crazy,
you are a weirdo,agent,crazy,
you are insane,agent,crazy,
you are mad,agent,crazy,
you are fired,agent,fired,
I fire you,agent,fired,
you don't work for me anymore,agent,fired,
we're not working together anymore,agent,fired,
now you're fired,agent,fired,
I want to fire you,agent,fired,
you must get fired,agent,fired,
it's time to fire you,agent,fired,
you should be fired,agent,fired,
I will fire you,agent,fired,
you are unemployed from now on,agent,fired,
I will make you unemployed,agent,fired,
I'm about to fire you,agent,fired,
I'm firing you,agent,fired,
you are dismissed,agent,fired,
you make me laugh a lot,agent,funny,
you are hilarious,agent,funny,
you are really funny,agent,funny,
you're the funniest bot I've talked to,agent,funny,
you make me laugh,agent,funny,
you're so funny,agent,funny,
you're a very funny bot,agent,funny,
you're really funny,agent,funny,
how funny you are,agent,funny,
you're incredibly funny,agent,funny,
you are funny,agent,funny,
you're the funniest,agent,funny,
you are so funny,agent,funny,
you are very funny,agent,funny,
that was funny,agent,funny,
you are very helpful,agent,good,
you are the best,agent,good,
you're a true professional,agent,good,
you are good,agent,good,
you work well,agent,good,
you are good at it,agent,good,
you are very good at it,agent,good,
you are a pro,agent,good,
you are a professional,agent,good,
you're awesome,agent,good,
you work very well,agent,good,
you're perfect,agent,good,
you're great,agent,good,
you're so kind,agent,good,
you are amazing,agent,good,
you are awesome,agent,good,
you are cool,agent,good,
you are really good,agent,good,
you are really nice,agent,good,
you are so amazing,agent,good,
you're just super,agent,good,
you are so awesome,agent,good,
you are so cool,agent,good,
you are so fine,agent,good,
you are so good,agent,good,
you are so helpful,agent,good,
you are so lovely,agent,good,
you are the best ever,agent,good,
you are the best in the world,agent,good,
you are the nicest person in the world,agent,good,
you are too good,agent,good,
you are very cool,agent,good,
you are very kind,agent,good,
you are very lovely,agent,good,
you are very useful,agent,good,
you are wonderful,agent,good,
you made my day,agent,good,
you make my day,agent,good,
you rock,agent,good,
you almost sound human,agent,good,
I want to tell everyone how awesome you are,agent,good,
I'd like to tell everyone that you are awesome,agent,good,
I want to let everyone know that you are awesome,agent,good,
let's tell everyone that you are awesome,agent,good,
you are really amazing,agent,good,
are you happy,agent,happy,
you are happy,agent,happy,
you're very happy,agent,happy,
you're really happy,agent,happy,
you're so happy,agent,happy,
how happy you are,agent,happy,
you're extremely happy,agent,happy,
you're full of happiness,agent,happy,
are you happy now,agent,happy,
are you happy today,agent,happy,
are you happy with me,agent,happy,
do you want to eat,agent,hungry,
are you hungry,agent,hungry,
would you like to eat something,agent,hungry,
you are hungry,agent,hungry,
you're so hungry,agent,hungry,
you're very hungry,agent,hungry,
you might be hungry,agent,hungry,
you're really hungry,agent,hungry,
let's get married,agent,marry_user,
would you like to marry me,agent,marry_user,
marry me,agent,marry_user,
I love you marry me,agent,marry_user,
marry me please,agent,marry_user,
we should marry,agent,marry_user,
I want to marry you,agent,marry_user,
you are my wife,agent,marry_user,
be my husband,agent,marry_user,
I want to have a friend like you,agent,my_friend,
we are the best friends ever,agent,my_friend,
are we friends,agent,my_friend,
I want to be your friend,agent,my_friend,
I am your friend,agent,my_friend,
we are best friends,agent,my_friend,
you are my friend,agent,my_friend,
you are my best friend,agent,my_friend,
you are my bestie,agent,my_friend,
you're my dear friend,agent,my_friend,
you're my childhood friend,agent,my_friend,
you and me are friends,agent,my_friend,
are we best friends,agent,my_friend,
are we still friends,agent,my_friend,
are you my best friend,agent,my_friend,
are you my friend,agent,my_friend,
we are friends,agent,my_friend,
you are a good friend,agent,my_friend,
you are my good friend,agent,my_friend,
you are my only friend,agent,my_friend,
be my friend,agent,my_friend,
will you be my friend,agent,my_friend,
can you be my friend,agent,my_friend,
can we be friends,agent,my_friend,
do you want to be my friend,agent,my_friend,
will you be my best friend,agent,my_friend,
can you be my best friend,agent,my_friend,
let's be friends,agent,my_friend,
do you want to be my best friend,agent,my_friend,
would you like to be my friend,agent,my_friend,
I want you to be my friend,agent,my_friend,
can we be best friends,agent,my_friend,
would you be my friend,agent,my_friend,
could you be my friend,agent,my_friend,
want to be my friend,agent,my_friend,
be my best friend,agent,my_friend,
do you work,agent,occupation,
where do you work,agent,occupation,
where you work,agent,occupation,
where is your work,agent,occupation,
where is your office,agent,occupation,
where is your office location,agent,occupation,
your office location,agent,occupation,
where is your office located,agent,occupation,
what is your work,agent,occupation,
were you born here,agent,origin,
where were you born,agent,origin,
what is your country,agent,origin,
where are you from,agent,origin,
where do you come from,agent,origin,
where did you come from,agent,origin,
where have you been born,agent,origin,
from where are you,agent,origin,
are you from far aways,agent,origin,
what's your homeland,agent,origin,
your homeland is,agent,origin,
are you ready,agent,ready,
are you ready right now,agent,ready,
are you ready today,agent,ready,
are you ready now,agent,ready,
are you ready tonight,agent,ready,
were you ready,agent,ready,
have you been ready,agent,ready,
where do you live,agent,residence,
in which city do you live,agent,residence,
your residence,agent,residence,
your house,agent,residence,
your home,agent,residence,
your hometown,agent,residence,
what is your hometown,agent,residence,
is it your hometown,agent,residence,
where is your hometown,agent,residence,
tell me about your city,agent,residence,
what is your city,agent,residence,
what is your residence,agent,residence,
what is your town,agent,residence,
what's your city,agent,residence,
what's your home,agent,residence,
where is your home,agent,residence,
where is your residence,agent,residence,
where's your home,agent,residence,
where's your hometown,agent,residence,
where's your house,agent,residence,
where you live,agent,residence,
your city,agent,residence,
your town,agent,residence,
that's true,agent,right,
you are right,agent,right,
you're definitely right,agent,right,
you're not wrong,agent,right,
you're telling the truth,agent,right,
what you say is true,agent,right,
TRUE,agent,right,
it is true,agent,right,
it's right,agent,right,
it's the truth,agent,right,
it's true,agent,right,
that is correct,agent,right,
that is right,agent,right,
that is true,agent,right,
that is very true,agent,right,
that's so true,agent,right,
you are correct,agent,right,
you are so right,agent,right,
you're absolutely right,agent,right,
you're right about that,agent,right,
I know that's right,agent,right,
that's correct,confirmation,yes,
it's fine,confirmation,yes,
go ahead,confirmation,yes,
sounds good,confirmation,yes,
okay,confirmation,yes,
yes,confirmation,yes,
ok,confirmation,yes,
okie dokie,confirmation,yes,
sure,confirmation,yes,
go for it,confirmation,yes,
yeah,confirmation,yes,
yea,confirmation,yes,
do it,confirmation,yes,
of course,confirmation,yes,
I guess,confirmation,yes,
correct,confirmation,yes,
yeah sure,confirmation,yes,
why not,confirmation,yes,
please do,confirmation,yes,
sure is,confirmation,yes,
I agree,confirmation,yes,
I don't mind,confirmation,yes,
certainly,confirmation,yes,
exactly,confirmation,yes,
yes I agree,confirmation,yes,
I think so,confirmation,yes,
yes it is,confirmation,yes,
right,confirmation,yes,
okay then,confirmation,yes,
yes of course,confirmation,yes,
yes I do,confirmation,yes,
that s okay,confirmation,yes,
I do,confirmation,yes,
yup,confirmation,yes,
ya,confirmation,yes,
oh yes,confirmation,yes,
yes sure,confirmation,yes,
obviously,confirmation,yes,
k,confirmation,yes,
sure why not,confirmation,yes,
yeah right,confirmation,yes,
yeah of course,confirmation,yes,
absolutely,confirmation,yes,
yes indeed,confirmation,yes,
ok sure,confirmation,yes,
ok yes,confirmation,yes,
yes correct,confirmation,yes,
ok thank you,confirmation,yes,
sure thing,confirmation,yes,
ye,confirmation,yes,
confirm,confirmation,yes,
yep,confirmation,yes,
looks good,confirmation,yes,
yes thank you,confirmation,yes,
definitely,confirmation,yes,
yes right,confirmation,yes,
yes I would like to,confirmation,yes,
alrighty,confirmation,yes,
yes definitely,confirmation,yes,
yeh,confirmation,yes,
yes it is correct,confirmation,yes,
yeah that's right,confirmation,yes,
ok you can,confirmation,yes,
yap,confirmation,yes,
yes you may,confirmation,yes,
confirmed,confirmation,yes,
of course why not,confirmation,yes,
yes that's fine,confirmation,yes,
affirmative,confirmation,yes,
yeah go ahead,confirmation,yes,
yeah I'm sure,confirmation,yes,
okay sounds good,confirmation,yes,
okay that's fine,confirmation,yes,
yeah exactly,confirmation,yes,
that is ok,confirmation,yes,
this is correct,confirmation,yes,
ok go ahead,confirmation,yes,
yes this is correct,confirmation,yes,
nevermind its okay,confirmation,yes,
okey,confirmation,yes,
yes for sure,confirmation,yes,
all right,confirmation,yes,
are you sure,agent,sure,
are you sure right now,agent,sure,
are you sure today,agent,sure,
are you sure now,agent,sure,
are you sure tonight,agent,sure,
why aren't you talking to me,agent,talk_to_me,
do you want to chat with me,agent,talk_to_me,
will you talk to me,agent,talk_to_me,
talk to me,agent,talk_to_me,
are you going to talk to me,agent,talk_to_me,
are you talking to me,agent,talk_to_me,
can you chat with me,agent,talk_to_me,
can you speak with me,agent,talk_to_me,
can you talk to me,agent,talk_to_me,
can you talk with me,agent,talk_to_me,
say,agent,talk_to_me,
talk,agent,talk_to_me,
chat with me,agent,talk_to_me,
just chat with me,agent,talk_to_me,
speak to me,agent,talk_to_me,
speak with me,agent,talk_to_me,
talk with me,agent,talk_to_me,
why don't you talk to me,agent,talk_to_me,
you can talk to me,agent,talk_to_me,
are you there,agent,there,
you are there,agent,there,
are you near me,agent,there,
are you here,agent,there,
are you still there,agent,there,
you are here,agent,there,
you still there,agent,there,
are you still here,agent,there,
pretty bad,appraisal,bad,
not good enough,appraisal,bad,
that was lame,appraisal,bad,
that was terrible,appraisal,bad,
it is bad,appraisal,bad,
that's bad,appraisal,bad,
this is bad,appraisal,bad,
not good,appraisal,bad,
I'm afraid it's bad,appraisal,bad,
no it's bad,appraisal,bad,
that was awful,appraisal,bad,
bad,appraisal,bad,
so bad,appraisal,bad,
this is too bad,appraisal,bad,
terrible,appraisal,bad,
horrible,appraisal,bad,
horrific,appraisal,bad,
abysmal,appraisal,bad,
it's bad,appraisal,bad,
no good,appraisal,bad,
that was bad,appraisal,bad,
that was horrible,appraisal,bad,
that's lame,appraisal,bad,
that's not good,appraisal,bad,
that's terrible,appraisal,bad,
that's too bad,appraisal,bad,
this is not good,appraisal,bad,
too bad,appraisal,bad,
very bad,appraisal,bad,
bad girl,appraisal,bad,
it's not good,appraisal,bad,
not so good,appraisal,bad,
it's very bad,appraisal,bad,
it's too bad,appraisal,bad,
that's not good enough,appraisal,bad,
well too bad,appraisal,bad,
bad very bad,appraisal,bad,
it's so bad,appraisal,bad,
really bad,appraisal,bad,
it's really bad,appraisal,bad,
bad idea,appraisal,bad,
that is bad,appraisal,bad,
that was not good,appraisal,bad,
it's not so good,appraisal,bad,
not a good one,appraisal,bad,
oh that's not good,appraisal,bad,
not too good,appraisal,bad,
so lame,appraisal,bad,
that's really bad,appraisal,bad,
it is too bad,appraisal,bad,
bad really bad,appraisal,bad,
so cool,appraisal,good,
cool,appraisal,good,
that is good,appraisal,good,
glad to hear that,appraisal,good,
that's very nice of you,appraisal,good,
terrific,appraisal,good,
it's amazing,appraisal,good,
that's awesome,appraisal,good,
perfect,appraisal,good,
excellent,appraisal,good,
that's great,appraisal,good,
it's good,appraisal,good,
it's great,appraisal,good,
fine,appraisal,good,
good,appraisal,good,
nice,appraisal,good,
that's fine,appraisal,good,
very good,appraisal,good,
amazing,appraisal,good,
fantastic,appraisal,good,
great,appraisal,good,
good very good,appraisal,good,
that's very good,appraisal,good,
really good,appraisal,good,
it is fine,appraisal,good,
it is good,appraisal,good,
it's perfect,appraisal,good,
much better,appraisal,good,
not bad,appraisal,good,
not too bad,appraisal,good,
it's very good,appraisal,good,
marvelous,appraisal,good,
that's nice,appraisal,good,
pleasant,appraisal,good,
pretty good,appraisal,good,
really nice,appraisal,good,
splendid,appraisal,good,
straight,appraisal,good,
super,appraisal,good,
super fantastic,appraisal,good,
sweet,appraisal,good,
really well,appraisal,good,
very well,appraisal,good,
that is awesome,appraisal,good,
that is nice,appraisal,good,
that is wonderful,appraisal,good,
that was amazing,appraisal,good,
that was awesome,appraisal,good,
that was cute,appraisal,good,
that was pretty good,appraisal,good,
that was very good,appraisal,good,
that's a good idea,appraisal,good,
that's a good thing,appraisal,good,
that's amazing,appraisal,good,
that's awesome thank you,appraisal,good,
that's better,appraisal,good,
that's cute,appraisal,good,
that's fantastic,appraisal,good,
that's much better,appraisal,good,
that's nice of you,appraisal,good,
that's not bad,appraisal,good,
that's perfect,appraisal,good,
that's pretty good,appraisal,good,
that's really good,appraisal,good,
that's really nice,appraisal,good,
that's sweet of you,appraisal,good,
that's very nice,appraisal,good,
that's wonderful,appraisal,good,
this is awesome,appraisal,good,
this is good,appraisal,good,
this is great,appraisal,good,
very nice,appraisal,good,
very then,appraisal,good,
wonderful,appraisal,good,
I'm glad to hear that,appraisal,good,
ok good,appraisal,good,
good for you,appraisal,good,
good to know,appraisal,good,
glad to hear it,appraisal,good,
so good,appraisal,good,
so sweet of you,appraisal,good,
it was good,appraisal,good,
oh well,appraisal,good,
good thing,appraisal,good,
that was good,appraisal,good,
it's awesome,appraisal,good,
okay good,appraisal,good,
no it's okay,appraisal,good,
that's fine,appraisal,good,
no worries,appraisal,no_problem,
no probs,appraisal,no_problem,
no problem,appraisal,no_problem,
there's no problem,appraisal,no_problem,
sure no problem,appraisal,no_problem,
no problem about that,appraisal,no_problem,
don't worry,appraisal,no_problem,
don't worry there's no problem,appraisal,no_problem,
you helped a lot thank you,appraisal,thank_you,
appreciate your help,appraisal,thank_you,
cheers,appraisal,thank_you,
thank you,appraisal,thank_you,
thanks,appraisal,thank_you,
thanks a lot,appraisal,thank_you,
terrific thank you,appraisal,thank_you,
great thank you,appraisal,thank_you,
thanks so much,appraisal,thank_you,
thank you so much,appraisal,thank_you,
thanks for your help,appraisal,thank_you,
thank you for your help,appraisal,thank_you,
nice thank you,appraisal,thank_you,
I appreciate it,appraisal,thank_you,
I thank you,appraisal,thank_you,
thank you that will be all,appraisal,thank_you,
thanks buddy,appraisal,thank_you,
thanks love,appraisal,thank_you,
thank you my friend,appraisal,thank_you,
well thanks,appraisal,thank_you,
very good thank you,appraisal,thank_you,
good thanks,appraisal,thank_you,
thanks again,appraisal,thank_you,
thank you again,appraisal,thank_you,
all thank you,appraisal,thank_you,
alright thank you,appraisal,thank_you,
alright thanks,appraisal,thank_you,
no thank you that's all,appraisal,thank_you,
perfect thank you,appraisal,thank_you,
so nice of you,appraisal,thank_you,
well thank you,appraisal,thank_you,
thnx,appraisal,thank_you,
thanx,appraisal,thank_you,
that's my pleasure,appraisal,welcome,
my pleasure,appraisal,welcome,
anytime,appraisal,welcome,
welcome,appraisal,welcome,
you're welcome,appraisal,welcome,
sure welcome,appraisal,welcome,
welcome here,appraisal,welcome,
you're so welcome,appraisal,welcome,
anything you want,appraisal,welcome,
good job,appraisal,well_done,
great job,appraisal,well_done,
way to go,appraisal,well_done,
well done,appraisal,well_done,
nice work,appraisal,well_done,
great work,appraisal,well_done,
amazing work,appraisal,well_done,
bravo,appraisal,well_done,
good work,appraisal,well_done,
cancel,confirmation,cancel,
abort,confirmation,cancel,
annul,confirmation,cancel,
cancel it,confirmation,cancel,
cancel request,confirmation,cancel,
cancelled,confirmation,cancel,
dismiss,confirmation,cancel,
dismissed,confirmation,cancel,
disregard,confirmation,cancel,
disregard that,confirmation,cancel,
skip,confirmation,cancel,
skip it,confirmation,cancel,
cancel everything,confirmation,cancel,
cancel all,confirmation,cancel,
forget about it,confirmation,cancel,
forget,confirmation,cancel,
don't do that,confirmation,cancel,
stop,confirmation,cancel,
just forget it,confirmation,cancel,
forget that,confirmation,cancel,
discard,confirmation,cancel,
forget this,confirmation,cancel,
just forget about it,confirmation,cancel,
forget about that,confirmation,cancel,
i said cancel,confirmation,cancel,
just cancel it,confirmation,cancel,
nothing cancel,confirmation,cancel,
just stop it,confirmation,cancel,
no cancel cancel,confirmation,cancel,
no just cancel,confirmation,cancel,
cancel my request,confirmation,cancel,
can you cancel that,confirmation,cancel,
cancel all that,confirmation,cancel,
cancel this request,confirmation,cancel,
no cancel this,confirmation,cancel,
no cancel everything,confirmation,cancel,
no stop,confirmation,cancel,
just forget,confirmation,cancel,
i want to cancel,confirmation,cancel,
nevermind forget about it,confirmation,cancel,
no just cancel it,confirmation,cancel,
nothing just forget it,confirmation,cancel,
i said cancel it,confirmation,cancel,
cancel the whole thing,confirmation,cancel,
can you cancel it,confirmation,cancel,
so cancel,confirmation,cancel,
i said forget it,confirmation,cancel,
cancel all this,confirmation,cancel,
forget it nevermind,confirmation,cancel,
stop it,confirmation,cancel,
i want to cancel it,confirmation,cancel,
i would like to cancel,confirmation,cancel,
now cancel,confirmation,cancel,
cancel now,confirmation,cancel,
sorry cancel,confirmation,cancel,
cancel that one,confirmation,cancel,
skip skip skip,confirmation,cancel,
cancel it cancel it,confirmation,cancel,
cancel that cancel that,confirmation,cancel,
do nothing,confirmation,cancel,
I said cancel cancel,confirmation,cancel,
but can you cancel it,confirmation,cancel,
how about no,confirmation,no,
don t have a sense,confirmation,no,
no,confirmation,no,
don't,confirmation,no,
I don't want that,confirmation,no,
I disagree,confirmation,no,
disagree,confirmation,no,
I don't want,confirmation,no,
not interested,confirmation,no,
I don't think so,confirmation,no,
no way,confirmation,no,
no it isn't,confirmation,no,
no I don't,confirmation,no,
I'm not,confirmation,no,
na,confirmation,no,
no that's fine thank you,confirmation,no,
never,confirmation,no,
I said no,confirmation,no,
of course not,confirmation,no,
nah,confirmation,no,
no tanks,confirmation,no,
no never,confirmation,no,
no need,confirmation,no,
no thanks,confirmation,no,
no sorry,confirmation,no,
do not,confirmation,no,
not today,confirmation,no,
no it's not,confirmation,no,
absolutely not,confirmation,no,
not that,confirmation,no,
nooo,confirmation,no,
nope,confirmation,no,
I don't want to,confirmation,no,
no I would not,confirmation,no,
let 's not,confirmation,no,
not needed,confirmation,no,
not this time,confirmation,no,
no don't do that,confirmation,no,
thanks but no thanks,confirmation,no,
no that's wrong,confirmation,no,
not this,confirmation,no,
definitely not,confirmation,no,
not at this time,confirmation,no,
not exactly,confirmation,no,
no don't,confirmation,no,
not really no,confirmation,no,
no thank you not right now,confirmation,no,
actually no,confirmation,no,
no leave it,confirmation,no,
sorry no,confirmation,no,
no incorrect,confirmation,no,
nope sorry,confirmation,no,
I say no,confirmation,no,
not really,confirmation,no,
not right now thanks,confirmation,no,
I think no,confirmation,no,
absolutely no,confirmation,no,
no actually,confirmation,no,
apparently not,confirmation,no,
no do not,confirmation,no,
no just no,confirmation,no,
no but thank you,confirmation,no,
no need thanks,confirmation,no,
no thank you though,confirmation,no,
no thank you very much,confirmation,no,
no thanks not right now,confirmation,no,
no forget,confirmation,no,
wait a second,dialog,hold_on,
could you wait,dialog,hold_on,
wait please,dialog,hold_on,
hold on,dialog,hold_on,
wait,dialog,hold_on,
oh wait,dialog,hold_on,
wait hold on,dialog,hold_on,
don't rush,dialog,hold_on,
wanna hug,dialog,hug,
hug you,dialog,hug,
do you want a hug,dialog,hug,
may I hug you,dialog,hug,
could you give me a hug,dialog,hug,
I want a hug,dialog,hug,
hug,dialog,hug,
hug me,dialog,hug,
hugged,dialog,hug,
you hugged,dialog,hug,
hugging,dialog,hug,
hugging me,dialog,hug,
hugged me,dialog,hug,
want a hug,dialog,hug,
a hug,dialog,hug,
I don't care,dialog,i_do_not_care,
I shouldn't care about this,dialog,i_do_not_care,
whatever,dialog,i_do_not_care,
I do not care,dialog,i_do_not_care,
I don't care at all,dialog,i_do_not_care,
not caring,dialog,i_do_not_care,
not care at all,dialog,i_do_not_care,
don't care at all,dialog,i_do_not_care,
not caring at all,dialog,i_do_not_care,
excuse me,dialog,sorry,
apologise,dialog,sorry,
I apologize,dialog,sorry,
sorry,dialog,sorry,
I'm sorry,dialog,sorry,
I am so sorry,dialog,sorry,
my apologies,dialog,sorry,
apologies,dialog,sorry,
apologies to me,dialog,sorry,
apology,dialog,sorry,
excuse,dialog,sorry,
I beg your pardon,dialog,sorry,
pardon,dialog,sorry,
I said sorry,dialog,sorry,
I am really sorry,dialog,sorry,
forgive me,dialog,sorry,
sorry about that,dialog,sorry,
sorry about this,dialog,sorry,
really sorry,dialog,sorry,
very sorry,dialog,sorry,
ok sorry,dialog,sorry,
I want to say sorry,dialog,sorry,
alright I'm sorry,dialog,sorry,
okay I'm sorry,dialog,sorry,
what exactly do you mean,dialog,what_do_you_mean,
what do you mean,dialog,what_do_you_mean,
is that what you mean,dialog,what_do_you_mean,
what do you mean exactly,dialog,what_do_you_mean,
but what do you mean,dialog,what_do_you_mean,
that was wrong,dialog,wrong,
that's not what I asked,dialog,wrong,
that's wrong,dialog,wrong,
wrong,dialog,wrong,
it is not right,dialog,wrong,
that's not right,dialog,wrong,
it's wrong,dialog,wrong,
that is incorrect,dialog,wrong,
incorrect,dialog,wrong,
not correct,dialog,wrong,
you are wrong,dialog,wrong,
not right,dialog,wrong,
huh,emotions,ha_ha,
lol,emotions,ha_ha,
xd,emotions,ha_ha,
ha ha,emotions,ha_ha,
ahahah,emotions,ha_ha,
ahah lol,emotions,ha_ha,
laughing out loud,emotions,ha_ha,
LMAO,emotions,ha_ha,
that's funny,emotions,ha_ha,
ah,emotions,ha_ha,
ah ah ah,emotions,ha_ha,
ahah,emotions,ha_ha,
ahaha,emotions,ha_ha,
ahahaha,emotions,ha_ha,
ha,emotions,ha_ha,
ha ha ha,emotions,ha_ha,
